code,name,sector,price,per,eps,pbr,bps,dividendYield
001940,KISCO홀딩스,,,,,,,
058400,KNN,우량기업부,,,,,,
025000,KPX케미칼,,,,,,,
092230,KPX홀딩스,,,,,,,
000040,KR모터스,,,,,,,
044450,KSS해운,,,,,,,
101000,KS인더스트리,중견기업부,,,,,,
030200,KT,,,,,,,
033780,KT&G,,,,,,,
058850,KTcs,,,,,,,
058860,KTis,,,,,,,
089600,KT나스미디어,우량기업부,,,,,,
418470,KT밀리의서재,우량기업부,,,,,,
043610,KT지니뮤직,중견기업부,,,,,,
122450,KX,중견기업부,,,,,,
052900,KX하이텍,우량기업부,,,,,,
036560,KZ정밀,우량기업부,,,,,,
061970,LB세미콘,중견기업부,,,,,,
309960,LB인베스트먼트,중견기업부,,,,,,
093050,LF,,,,,,,
003550,LG,,,,,,,
034220,LG디스플레이,,,,,,,
051900,LG생활건강,,,,,,,
051905,LG생활건강우,,,,,,,
064400,LG씨엔에스,,,,,,,
373220,LG에너지솔루션,,,,,,,
003555,LG우,,,,,,,
032640,LG유플러스,,,,,,,
011070,LG이노텍,,,,,,,
066570,LG전자,,,,,,,
066575,LG전자우,,,,,,,
037560,LG헬로비전,,,,,,,
051910,LG화학,,,,,,,
051915,LG화학우,,,,,,,
079550,LIG디펜스앤에어로스페이스,,,,,,,
073490,LIG아큐버,우량기업부,,,,,,
225190,LK삼양,중견기업부,,,,,,
006260,LS,,,,,,,
010120,LS ELECTRIC,,,,,,,
091970,LSK아이로봇,중견기업부,,,,,,
000680,LS네트웍스,,,,,,,
060370,LS마린솔루션,우량기업부,,,,,,
417200,LS머트리얼즈,중견기업부,,,,,,
229640,LS에코에너지,,,,,,,
078020,LS증권,우량기업부,,,,,,
322180,LS티라유텍,벤처기업부,,,,,,
108320,LX세미콘,,,,,,,
001120,LX인터내셔널,,,,,,,
108670,LX하우시스,,,,,,,
108675,LX하우시스우,,,,,,,
383800,LX홀딩스,,,,,,,
38380K,LX홀딩스1우,,,,,,,
476080,M83,중견기업부,,,,,,
086960,MDS테크,우량기업부,,,,,,
023150,MH에탄올,,,,,,,
035420,NAVER,,,,,,,
036570,NC,,,,,,,
160550,NEW,중견기업부,,,,,,
053290,NE능률,중견기업부,,,,,,
181710,NHN,,,,,,,
060250,NHN KCP,우량기업부,,,,,,
104200,NHN벅스,중견기업부,,,,,,
054050,NH농우바이오,우량기업부,,,,,,
400760,NH올원리츠,,,,,,,
005940,NH투자증권,,,,,,,
005945,NH투자증권우,,,,,,,
338100,NH프라임리츠,,,,,,,
034310,NICE,,,,,,,
063570,NICE인프라,우량기업부,,,,,,
030190,NICE평가정보,,,,,,,
008260,NI스틸,,,,,,,
004250,NPC,,,,,,,
004255,NPC우,,,,,,,
456040,OCI,,,,,,,
010060,OCI홀딩스,,,,,,,
178920,PI첨단소재,,,,,,,
001340,PKC,,,,,,,
024940,PN풍년,벤처기업부,,,,,,
005490,POSCO홀딩스,,,,,,,
332570,PS일렉트로닉스,우량기업부,,,,,,
218410,RFHIC,우량기업부,,,,,,
327260,RF머트리얼즈,벤처기업부,,,,,,
474610,RF시스템즈,벤처기업부,,,,,,
091340,S&K폴리텍,중견기업부,,,,,,
010950,S-Oil,,,,,,,
010955,S-Oil우,,,,,,,
419530,SAMG엔터,기술성장기업부,,,,,,
019550,SBI인베스트먼트,중견기업부,,,,,,
034120,SBS,,,,,,,
003080,SB성보,,,,,,,
246960,SCL사이언스,기술성장기업부,,,,,,
099220,SDN,중견기업부,,,,,,
056190,SFA,우량기업부,,,,,,
222080,SFA넥셀,우량기업부,,,,,,
036540,SFA반도체,중견기업부,,,,,,
255220,SG,중견기업부,,,,,,
040610,SG&G,중견기업부,,,,,,
184230,SGA솔루션즈,벤처기업부,,,,,,
016250,SGC E&C,중견기업부,,,,,,
005090,SGC에너지,,,,,,,
001380,SG글로벌,,,,,,,
004060,SG세계물산,,,,,,,
001770,SHD,,,,,,,
002360,SH에너지화학,,,,,,,
009160,SIMPAC,,,,,,,
033530,SJG세종,,,,,,,
123700,SJM,,,,,,,
025530,SJM홀딩스,,,,,,,
034730,SK,,,,,,,
357880,SKAI,기술성장기업부,,,,,,
011790,SKC,,,,,,,
018670,SK가스,,,,,,,
001740,SK네트웍스,,,,,,,
006120,SK디스커버리,,,,,,,
006125,SK디스커버리우,,,,,,,
210980,SK디앤디,,,,,,,
395400,SK리츠,,,,,,,
302440,SK바이오사이언스,,,,,,,
326030,SK바이오팜,,,,,,,
402340,SK스퀘어,,,,,,,
260870,SK시그넷,일반기업부,,,,,,
361610,SK아이이테크놀로지,,,,,,,
100090,SK오션플랜트,,,,,,,
03473K,SK우,,,,,,,
096770,SK이노베이션,,,,,,,
096775,SK이노베이션우,,,,,,,
475150,SK이터닉스,,,,,,,
001510,SK증권,,,,,,,
001515,SK증권우,,,,,,,
285130,SK케미칼,,,,,,,
28513K,SK케미칼우,,,,,,,
017670,SK텔레콤,,,,,,,
000660,SK하이닉스,,,,,,,
048550,SM C&C,중견기업부,,,,,,
063440,SM Life Design,중견기업부,,,,,,
003570,SNT다이내믹스,,,,,,,
064960,SNT모티브,,,,,,,
100840,SNT에너지,,,,,,,
036530,SNT홀딩스,,,,,,,
067160,SOOP,우량기업부,,,,,,
000390,SP삼화,,,,,,,
011810,STX,,,,,,,
465770,STX그린로지스,,,,,,,
077970,STX엔진,,,,,,,
002820,SUN&L,,,,,,,
289080,SV인베스트먼트,중견기업부,,,,,,
002170,SYTS,,,,,,,
041930,SY동아,우량기업부,,,,,,
084870,TBH글로벌,,,,,,,
002710,TCC스틸,,,,,,,
089230,THE E&M,중견기업부,,,,,,
032540,TJ미디어,우량기업부,,,,,,
069260,TKG휴켐스,,,,,,,
007980,TP,,,,,,,
048770,TPC로보틱스,벤처기업부,,,,,,
246690,TS인베스트먼트,중견기업부,,,,,,
317240,TS트릴리온,벤처기업부,,,,,,
002900,TYM,,,,,,,
024070,WISCOM,,,,,,,
057030,YBM넷,중견기업부,,,,,,
037270,YG PLUS,,,,,,,
040300,YTN,중견기업부,,,,,,
051390,YW,중견기업부,,,,,,
052220,iMBC,중견기업부,,,,,,
139130,iM금융지주,,,,,,,
079940,가비아,우량기업부,,,,,,
078890,가온그룹,중견기업부,,,,,,
000500,가온전선,,,,,,,
399720,가온칩스,벤처기업부,,,,,,
296520,가이아코퍼레이션,일반기업부,,,,,,
036620,감성코퍼레이션,우량기업부,,,,,,
000860,강남제비스코,,,,,,,
198440,강동씨앤엘,중견기업부,,,,,,
217730,강스템바이오텍,기술성장기업부,,,,,,
035250,강원랜드,,,,,,,
114190,강원에너지,중견기업부,,,,,,
094480,갤럭시아머니트리,우량기업부,,,,,,
011420,갤럭시아에스엠,,,,,,,
039240,경남스틸,우량기업부,,,,,,
053950,경남제약,중견기업부,,,,,,
002100,경농,,,,,,,
009450,경동나비엔,,,,,,,
267290,경동도시가스,,,,,,,
012320,경동인베스트,,,,,,,
011040,경동제약,중견기업부,,,,,,
000050,경방,,,,,,,
214390,경보제약,,,,,,,
012610,경인양행,,,,,,,
009140,경인전자,,,,,,,
024910,경창산업,중견기업부,,,,,,
013580,계룡건설,,,,,,,
012200,계양전기,,,,,,,
012205,계양전기우,,,,,,,
002140,고려산업,,,,,,,
049720,고려신용정보,우량기업부,,,,,,
010130,고려아연,,,,,,,
002240,고려제강,,,,,,,
014570,고려제약,중견기업부,,,,,,
348150,고바이오랩,기술성장기업부,,,,,,
950190,고스트스튜디오,외국기업(소속부없음),,,,,,
098460,고영,우량기업부,,,,,,
035290,골드앤에스,관리종목(소속부없음),,,,,,
215000,골프존,우량기업부,,,,,,
121440,골프존홀딩스,우량기업부,,,,,,
009290,광동제약,,,,,,,
086220,광동헬스바이오,일반기업부,,,,,,
017040,광명전기,,,,,,,
029480,광무,중견기업부,,,,,,
017900,광전자,,,,,,,
037710,광주신세계,,,,,,,
026910,광진실업,중견기업부,,,,,,
465320,교보15호스팩,관리종목(소속부없음),,,,,,
482520,교보16호스팩,SPAC(소속부없음),,,,,,
489210,교보17호스팩,SPAC(소속부없음),,,,,,
0041B0,교보18호스팩,SPAC(소속부없음),,,,,,
0098T0,교보19호스팩,SPAC(소속부없음),,,,,,
0132G0,교보20호스팩,SPAC(소속부없음),,,,,,
030610,교보증권,,,,,,,
339770,교촌에프앤비,,,,,,,
053270,구영테크,우량기업부,,,,,,
007690,국도화학,,,,,,,
066620,국보디자인,우량기업부,,,,,,
043650,국순당,중견기업부,,,,,,
006050,국영지앤엠,중견기업부,,,,,,
060480,국일신동,중견기업부,,,,,,
078130,국일제지,중견기업부,,,,,,
307750,국전,중견기업부,,,,,,
002720,국제약품,,,,,,,
035080,그래디언트,중견기업부,,,,,,
318060,그래피,기술성장기업부,,,,,,
453450,그리드위즈,중견기업부,,,,,,
204020,그리티,우량기업부,,,,,,
0015G0,그린광학,기술성장기업부,,,,,,
402490,그린리소스,기술성장기업부,,,,,,
114450,그린생명과학,벤처기업부,,,,,,
083420,그린케미칼,,,,,,,
186230,그린플러스,벤처기업부,,,,,,
014530,극동유화,,,,,,,
900070,글로벌에스엠,외국기업(소속부없음),,,,,,
204620,글로벌텍스프리,우량기업부,,,,,,
019660,글로본,중견기업부,,,,,,
014280,금강공업,,,,,,,
014285,금강공업우,,,,,,,
053260,금강철강,우량기업부,,,,,,
008870,금비,,,,,,,
001570,금양,,,,,,,
282720,금양그린파워,중견기업부,,,,,,
002990,금호건설,,,,,,,
002995,금호건설우,,,,,,,
011780,금호석유화학,,,,,,,
011785,금호석유화학우,,,,,,,
214330,금호에이치티,,,,,,,
001210,금호전기,,,,,,,
073240,금호타이어,,,,,,,
036190,금화피에스시,우량기업부,,,,,,
049080,기가레인,벤처기업부,,,,,,
420770,기가비스,우량기업부,,,,,,
035460,기산텔레콤,벤처기업부,,,,,,
092440,기신정기,,,,,,,
000270,기아,,,,,,,
024110,기업은행,,,,,,,
013700,까뮤이앤씨,,,,,,,
004540,깨끗한나라,,,,,,,
004545,깨끗한나라우,,,,,,,
407400,꿈비,벤처기업부,,,,,,
187790,나노,벤처기업부,,,,,,
238540,나노솔루션,일반기업부,,,,,,
121600,나노신소재,우량기업부,,,,,,
286750,나노실리칸첨단소재,투자주의환기종목(소속부없음),,,,,,
247660,나노씨엠에스,관리종목(소속부없음),,,,,,
039860,나노엔텍,중견기업부,,,,,,
417010,나노팀,벤처기업부,,,,,,
244880,나눔테크,일반기업부,,,,,,
405920,나라셀라,중견기업부,,,,,,
478340,나라스페이스테크놀로지,기술성장기업부,,,,,,
051490,나라엠앤디,우량기업부,,,,,,
137080,나래나노텍,중견기업부,,,,,,
190510,나무가,우량기업부,,,,,,
242040,나무에이엑스,기술성장기업부,,,,,,
293580,나우IB,중견기업부,,,,,,
459510,나우로보틱스,기술성장기업부,,,,,,
138610,나이벡,기술성장기업부,,,,,,
130580,나이스디앤비,우량기업부,,,,,,
036800,나이스정보통신,우량기업부,,,,,,
366030,나인앤컴퍼니,중견기업부,,,,,,
267320,나인테크,벤처기업부,,,,,,
001260,남광토건,,,,,,,
008350,남선알미늄,,,,,,,
008355,남선알미우,,,,,,,
004270,남성,,,,,,,
003920,남양유업,,,,,,,
003925,남양유업우,,,,,,,
025860,남해화학,,,,,,,
111710,남화산업,중견기업부,,,,,,
091590,남화토건,중견기업부,,,,,,
168330,내츄럴엔도텍,투자주의환기종목(소속부없음),,,,,,
094860,네오리진,중견기업부,,,,,,
0218L0,네오뷰,중견기업부,,,,,,
253590,네오셈,우량기업부,,,,,,
212560,네오오토,우량기업부,,,,,,
095660,네오위즈,우량기업부,,,,,,
042420,네오위즈홀딩스,우량기업부,,,,,,
950220,네오이뮨텍,기술성장기업부,,,,,,
311390,네오크레마,벤처기업부,,,,,,
085910,네오티스,중견기업부,,,,,,
092730,네오팜,우량기업부,,,,,,
153460,네이블,중견기업부,,,,,,
007390,네이처셀,중견기업부,,,,,,
033640,네패스,중견기업부,,,,,,
330860,네패스아크,중견기업부,,,,,,
351320,넥사다이내믹스,중견기업부,,,,,,
005720,넥센,,,,,,,
005725,넥센우,,,,,,,
002350,넥센타이어,,,,,,,
002355,넥센타이어1우B,,,,,,,
089140,넥스턴앤롤코리아,벤처기업부,,,,,,
389650,넥스트바이오메디컬,기술성장기업부,,,,,,
137940,넥스트아이,중견기업부,,,,,,
396270,넥스트칩,벤처기업부,,,,,,
348210,넥스틴,우량기업부,,,,,,
092790,넥스틸,,,,,,,
225570,넥슨게임즈,중견기업부,,,,,,
205500,넥써쓰,중견기업부,,,,,,
217270,넵튠,중견기업부,,,,,,
251270,넷마블,,,,,,,
317860,노드메이슨,일반기업부,,,,,,
104620,노랑풍선,중견기업부,,,,,,
090350,노루페인트,,,,,,,
090355,노루페인트우,,,,,,,
000320,노루홀딩스,,,,,,,
000325,노루홀딩스우,,,,,,,
473980,노머스,기술성장기업부,,,,,,
194700,노바렉스,우량기업부,,,,,,
285490,노바텍,벤처기업부,,,,,,
145170,노브랜드,중견기업부,,,,,,
229500,노브메타파마,일반기업부,,,,,,
376930,노을,기술성장기업부,,,,,,
486990,노타,기술성장기업부,,,,,,
006280,녹십자,,,,,,,
142280,녹십자엠에스,중견기업부,,,,,,
234690,녹십자웰빙,우량기업부,,,,,,
005250,녹십자홀딩스,,,,,,,
005257,녹십자홀딩스2우,,,,,,,
004370,농심,,,,,,,
072710,농심홀딩스,,,,,,,
069140,누리플랜,벤처기업부,,,,,,
040160,누리플렉스,중견기업부,,,,,,
332290,누보,벤처기업부,,,,,,
348340,뉴로메카,기술성장기업부,,,,,,
380550,뉴로핏,기술성장기업부,,,,,,
060260,뉴보텍,벤처기업부,,,,,,
463020,뉴엔AI,기술성장기업부,,,,,,
123840,뉴온,투자주의환기종목(소속부없음),,,,,,
012340,뉴인텍,투자주의환기종목(소속부없음),,,,,,
462310,뉴키즈온,중견기업부,,,,,,
270870,뉴트리,중견기업부,,,,,,
144960,뉴파워프라즈마,우량기업부,,,,,,
085670,뉴프렉스,우량기업부,,,,,,
064260,다날,중견기업부,,,,,,
340360,다보링크,투자주의환기종목(소속부없음),,,,,,
039560,다산네트웍스,중견기업부,,,,,,
208860,다산디엠씨,벤처기업부,,,,,,
154040,다산솔루에타,중견기업부,,,,,,
058730,다스코,,,,,,,
030210,다올투자증권,,,,,,,
023590,다우기술,,,,,,,
032190,다우데이타,우량기업부,,,,,,
323350,다원넥스뷰,기술성장기업부,,,,,,
068240,다원시스,관리종목(소속부없음),,,,,,
145210,다이나믹디자인,,,,,,,
290660,다이나믹솔루션,기술성장기업부,,,,,,
483650,달바글로벌,,,,,,,
464580,닷밀,기술성장기업부,,,,,,
019680,대교,,,,,,,
019685,대교우B,,,,,,,
006370,대구백화점,,,,,,,
008060,대덕,,,,,,,
00806K,대덕1우,,,,,,,
353200,대덕전자,,,,,,,
35320K,대덕전자1우,,,,,,,
000490,대동,,,,,,,
178600,대동고려삼,일반기업부,,,,,,
020400,대동금속,중견기업부,,,,,,
008830,대동기어,중견기업부,,,,,,
048470,대동스틸,중견기업부,,,,,,
004780,대륙제관,우량기업부,,,,,,
005750,대림바스,,,,,,,
017650,대림제지,우량기업부,,,,,,
006570,대림통상,,,,,,,
389260,대명에너지,우량기업부,,,,,,
317850,대모,벤처기업부,,,,,,
290670,대보마그네틱,중견기업부,,,,,,
078140,대봉엘에스,우량기업부,,,,,,
065150,대산F&B,중견기업부,,,,,,
001680,대상,,,,,,,
001685,대상우,,,,,,,
084690,대상홀딩스,,,,,,,
084695,대상홀딩스우,,,,,,,
036480,대성미생물,중견기업부,,,,,,
128820,대성산업,,,,,,,
117580,대성에너지,,,,,,,
027830,대성창투,중견기업부,,,,,,
129920,대성하이텍,벤처기업부,,,,,,
016710,대성홀딩스,,,,,,,
471050,대신밸런스제17호스팩,관리종목(소속부없음),,,,,,
482690,대신밸런스제19호스팩,SPAC(소속부없음),,,,,,
0134X0,대신밸런스제20호스팩,SPAC(소속부없음),,,,,,
0030R0,대신밸류리츠,,,,,,,
020180,대신정보통신,중견기업부,,,,,,
003540,대신증권,,,,,,,
003547,대신증권2우B,,,,,,,
003545,대신증권우,,,,,,,
045390,대아티아이,우량기업부,,,,,,
009190,대양금속,,,,,,,
108380,대양전기공업,우량기업부,,,,,,
014160,대영포장,,,,,,,
047040,대우건설,,,,,,,
003090,대웅,,,,,,,
069620,대웅제약,,,,,,,
007680,대원,중견기업부,,,,,,
000430,대원강업,,,,,,,
048910,대원미디어,우량기업부,,,,,,
005710,대원산업,우량기업부,,,,,,
006340,대원전선,,,,,,,
006345,대원전선우,,,,,,,
003220,대원제약,,,,,,,
024890,대원화성,,,,,,,
120240,대정화금,우량기업부,,,,,,
003310,대주산업,우량기업부,,,,,,
114920,대주이엔티,일반기업부,,,,,,
078600,대주전자재료,우량기업부,,,,,,
393970,대진첨단소재,관리종목(소속부없음),,,,,,
012800,대창,,,,,,,
015230,대창단조,,,,,,,
096350,대창솔루션,벤처기업부,,,,,,
140520,대창스틸,중견기업부,,,,,,
131220,대한과학,벤처기업부,,,,,,
010170,대한광통신,중견기업부,,,,,,
054670,대한뉴팜,우량기업부,,,,,,
001070,대한방직,,,,,,,
023910,대한약품,우량기업부,,,,,,
006650,대한유화,,,,,,,
001440,대한전선,,,,,,,
084010,대한제강,,,,,,,
001790,대한제당,,,,,,,
001795,대한제당우,,,,,,,
001130,대한제분,,,,,,,
439260,대한조선,,,,,,,
003490,대한항공,,,,,,,
003495,대한항공우,,,,,,,
005880,대한해운,,,,,,,
003830,대한화섬,,,,,,,
016090,대현,,,,,,,
069460,대호에이엘,,,,,,,
021040,대호특수강,중견기업부,,,,,,
021045,대호특수강우,중견기업부,,,,,,
067080,대화제약,중견기업부,,,,,,
298540,더네이쳐홀딩스,우량기업부,,,,,,
032860,더라미,중견기업부,,,,,,
475560,더본코리아,,,,,,,
192080,더블유게임즈,,,,,,,
393890,더블유씨피,기술성장기업부,,,,,,
299170,더블유에스아이,중견기업부,,,,,,
462860,더즌,벤처기업부,,,,,,
224060,더코디,투자주의환기종목(소속부없음),,,,,,
302920,더콘텐츠온,일반기업부,,,,,,
043090,더테크놀로지,투자주의환기종목(소속부없음),,,,,,
403850,더핑크퐁컴퍼니,중견기업부,,,,,,
213420,덕산네오룩스,우량기업부,,,,,,
317330,덕산테코피아,중견기업부,,,,,,
077360,덕산하이메탈,벤처기업부,,,,,,
004830,덕성,,,,,,,
004835,덕성우,,,,,,,
090410,덕신이피씨,우량기업부,,,,,,
0001A0,덕양에너젠,중견기업부,,,,,,
263600,덕우전자,중견기업부,,,,,,
194480,데브시스터즈,중견기업부,,,,,,
373160,데이원컴퍼니,기술성장기업부,,,,,,
263800,데이타솔루션,중견기업부,,,,,,
199150,데이터스트림즈,일반기업부,,,,,,
206560,덱스터,기술성장기업부,,,,,,
261200,덴티스,중견기업부,,,,,,
145720,덴티움,,,,,,,
227420,도부,일반기업부,,,,,,
484120,도우인시스,중견기업부,,,,,,
067990,도이치모터스,우량기업부,,,,,,
002150,도화엔지니어링,,,,,,,
006620,동구바이오제약,우량기업부,,,,,,
100130,동국S&C,중견기업부,,,,,,
005160,동국산업,중견기업부,,,,,,
303810,동국생명과학,중견기업부,,,,,,
460850,동국씨엠,,,,,,,
075970,동국알앤에스,중견기업부,,,,,,
460860,동국제강,,,,,,,
086450,동국제약,우량기업부,,,,,,
001230,동국홀딩스,,,,,,,
023450,동남합성,,,,,,,
004140,동방,,,,,,,
240550,동방메디컬,중견기업부,,,,,,
099410,동방선기,벤처기업부,,,,,,
007590,동방아그로,,,,,,,
005960,동부건설,,,,,,,
005965,동부건설우,,,,,,,
026960,동서,,,,,,,
002210,동성제약,,,,,,,
102260,동성케미컬,,,,,,,
033500,동성화인텍,우량기업부,,,,,,
025950,동신건설,우량기업부,,,,,,
000640,동아쏘시오홀딩스,,,,,,,
170900,동아에스티,,,,,,,
088130,동아엘텍,우량기업부,,,,,,
028100,동아지질,,,,,,,
001520,동양,,,,,,,
001527,동양2우B,,,,,,,
084670,동양고속,,,,,,,
082640,동양생명,,,,,,,
060380,동양에스텍,중견기업부,,,,,,
001525,동양우,,,,,,,
079960,동양이엔피,우량기업부,,,,,,
228340,동양파일,중견기업부,,,,,,
088910,동우팜투테이블,우량기업부,,,,,,
094170,동운아나텍,우량기업부,,,,,,
013120,동원개발,우량기업부,,,,,,
018500,동원모빌리티,,,,,,,
006040,동원산업,,,,,,,
030720,동원수산,,,,,,,
014820,동원시스템즈,,,,,,,
014825,동원시스템즈우,,,,,,,
111380,동인기연,,,,,,,
163560,동일고무벨트,,,,,,,
109860,동일금속,우량기업부,,,,,,
032960,동일기연,관리종목(소속부없음),,,,,,
004890,동일산업,,,,,,,
023790,동일스틸럭스,중견기업부,,,,,,
002690,동일제강,,,,,,,
005290,동진쎄미켐,우량기업부,,,,,,
025900,동화기업,중견기업부,,,,,,
000020,동화약품,,,,,,,
000150,두산,,,,,,,
000157,두산2우B,,,,,,,
454910,두산로보틱스,,,,,,,
241560,두산밥캣,,,,,,,
034020,두산에너빌리티,,,,,,,
000155,두산우,,,,,,,
131970,두산테스나,우량기업부,,,,,,
336260,두산퓨얼셀,,,,,,,
33626K,두산퓨얼셀1우,,,,,,,
33626L,두산퓨얼셀2우B,,,,,,,
016740,두올,,,,,,,
073190,듀오백,관리종목(소속부없음),,,,,,
176750,듀켐바이오,기술성장기업부,,,,,,
